[0.007s][info][gc] Using Concurrent Mark Sweep
[3.868s][info ][safepoint    ] Leaving safepoint region
[3.868s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002172 seconds, Stopping threads took: 0.0001496 seconds
[3.869s][info ][safepoint    ] Application time: 0.0012201 seconds
[3.869s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.870s][info ][safepoint    ] Leaving safepoint region
[3.870s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001201 seconds, Stopping threads took: 0.0000558 seconds
[3.871s][info ][safepoint    ] Application time: 0.0009522 seconds
[3.871s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.871s][info ][safepoint    ] Leaving safepoint region
[3.871s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001847 seconds, Stopping threads took: 0.0001009 seconds
[3.871s][info ][safepoint    ] Application time: 0.0004940 seconds
[3.871s][info ][safepoint    ] Entering safepoint region: BulkRevokeBias
[3.872s][info ][safepoint    ] Leaving safepoint region
[3.872s][info ][safepoint    ] Total time for which application threads were stopped: 0.0003069 seconds, Stopping threads took: 0.0001520 seconds
[3.873s][info ][safepoint    ] Application time: 0.0015574 seconds
[3.873s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.873s][info ][safepoint    ] Leaving safepoint region
[3.873s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001357 seconds, Stopping threads took: 0.0000467 seconds
[3.888s][info ][safepoint    ] Application time: 0.0145678 seconds
[3.888s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.888s][info ][safepoint    ] Leaving safepoint region
[3.888s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001502 seconds, Stopping threads took: 0.0000493 seconds
[3.898s][info ][safepoint    ] Application time: 0.0095736 seconds
[3.898s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.898s][info ][safepoint    ] Leaving safepoint region
[3.898s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001581 seconds, Stopping threads took: 0.0000689 seconds
[3.908s][info ][safepoint    ] Application time: 0.0106587 seconds
[3.909s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.909s][info ][safepoint    ] Leaving safepoint region
[3.909s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001161 seconds, Stopping threads took: 0.0000352 seconds
